transaction_id,iso_score,rf_score,svm_score,xgb_score,ensemble_score,fraud_prediction,risk_level
0,0.1501676388511975,0.0,0.5080186668452203,0.09844287,0.1816489113311101,0,LOW RISK
1,0.10432442520176018,0.0,0.508333578051823,0.09137001,0.1707907817747729,0,LOW RISK
2,0.05247159735138196,0.0,0.5083027875633654,0.25214875,0.20060720322215597,0,LOW RISK
3,0.0,0.0,0.5081186005794719,0.27151877,0.19490934186487682,0,LOW RISK
4,0.1501676388511975,0.0,0.5080161730562793,0.16929993,0.19936255361783212,0,LOW RISK
5,0.10432442520176018,0.0,0.5087199422787747,0.27896407,0.21778588872651986,0,LOW RISK
6,0.11630559101457214,0.0,0.5080186668452203,0.08701501,0.17201953751834645,0,LOW RISK
7,0.1821288896672544,0.0,0.5080186668452203,0.059734702,0.1783641201723286,0,LOW RISK
8,0.0,0.0,0.5083984744609296,0.044914007,0.1383281204119548,0,LOW RISK
9,0.1821288896672544,0.0,0.5088018685393626,0.028307084,0.17070301606682908,0,LOW RISK
10,0.1501676388511975,0.0,0.5080161730562793,0.018645095,0.16169884471121138,0,LOW RISK
11,0.1821288896672544,0.0,0.5080260510827374,0.20630798,0.21500928506362849,0,LOW RISK
12,0.0,0.0,0.5081647300465065,0.15937987,0.16688614993649617,0,LOW RISK
13,0.0,0.0,0.5080260510827374,0.08585151,0.14846939098301706,0,LOW RISK
14,0.0,0.0,0.5082728080086228,0.06391418,0.14304674695264094,0,LOW RISK
15,0.1501676388511975,0.0,0.5082728080086228,0.042054772,0.16761542286664877,0,LOW RISK
16,0.1501676388511975,0.0,0.5087199422787747,0.24546899,0.21858076059358955,0,LOW RISK
17,0.10432442520176018,0.0,0.5088018685393626,0.24600346,0.2095662181412743,0,LOW RISK
18,0.0,0.0,0.5083027875633654,0.21679768,0.18127511680651748,0,LOW RISK
19,0.1821288896672544,0.0,0.5081186005794719,0.18020712,0.20850720767631653,0,LOW RISK
20,0.1501676388511975,0.0,0.5080161730562793,0.07508987,0.1758100390051574,0,LOW RISK
21,0.0,0.0,0.5080260510827374,0.12340744,0.15785837237003622,0,LOW RISK
22,0.0,0.0,0.5081647300465065,0.1352521,0.16085420831400052,0,LOW RISK
23,0.18271274864111228,0.0,0.5088018685393626,0.17596596,0.20773450806160285,0,LOW RISK
24,0.08433989593518411,0.0,0.5080186668452203,0.111676,0.17179164591300466,0,LOW RISK
25,0.1501676388511975,0.0,0.5081186005794719,0.1367204,0.19124327892233062,0,LOW RISK
26,0.1501676388511975,0.0,0.5080161730562793,0.19462237,0.20569316293942635,0,LOW RISK
27,0.1821288896672544,0.0,0.5088018685393626,0.16731565,0.20545515681980026,0,LOW RISK
28,0.1821288896672544,0.0,0.5080161730562793,0.13717608,0.19772384158207082,0,LOW RISK
29,0.10432442520176018,0.0,0.5082728080086228,0.068773575,0.16512648082428893,0,LOW RISK
30,0.05247159735138196,0.0,0.5080312411475594,0.07429059,0.15607477688169513,0,LOW RISK
31,0.1501676388511975,0.0,0.5083984744609296,0.080276,0.17720214576534515,0,LOW RISK
32,0.08433989593518411,0.0,0.5087199422787747,0.16515179,0.18533591220283835,0,LOW RISK
33,0.19811161403552438,0.0,0.5088018685393626,0.059606425,0.18172439630798384,0,LOW RISK
34,0.1501676388511975,0.0,0.5081186005794719,0.19834976,0.20665061766077208,0,LOW RISK
35,0.05247159735138196,0.0,0.5082728080086228,0.07448431,0.15618359923348615,0,LOW RISK
36,0.23260263884577342,0.0,0.5083984744609296,0.31614435,0.2526562331821013,0,LOW RISK
37,0.23260263884577342,0.0,0.5081647300465065,0.07201425,0.19156527274609142,0,LOW RISK
38,0.1821288896672544,0.0,0.5080260510827374,0.054799423,0.17713214635956698,0,LOW RISK
39,0.08433989593518411,0.0,0.5080161730562793,0.18542308,0.19022779148930702,0,LOW RISK
40,0.0,0.0,0.5083027875633654,0.32181233,0.20752877980996215,0,LOW RISK
41,0.1501676388511975,0.0,0.5080161730562793,0.060616612,0.17219172414290612,0,LOW RISK
42,0.08433989593518411,0.0,0.5080186668452203,0.32261032,0.22452522556352594,0,LOW RISK
43,0.08433989593518411,0.0,0.5081186005794719,0.25095403,0.20663613731797353,0,LOW RISK
44,0.08433989593518411,0.0,0.5081647300465065,0.062917724,0.15963859276160025,0,LOW RISK
45,0.1821288896672544,0.0,0.5080260510827374,0.14577265,0.1998754534136098,0,LOW RISK
